"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality.class"
"1092",7.2,0.21,0.35,14.5,0.048,0.035,0.178,0.9982,3.05,0.47,8.9,6,"high"
"1093",7.1,0.21,0.4,1.2,0.069,0.024,0.156,0.9928,3.42,0.43,10.6,6,"high"
"1094",8.4,0.17,0.31,6.7,0.038,0.029,0.132,0.9945,3.1,0.32,10.6,7,"high"
"1095",7.4,0.24,0.31,8.4,0.045,0.052,0.183,0.9963,3.09,0.32,8.8,5,"low"
"1096",5.3,0.24,0.33,1.3,0.033,0.025,0.097,0.9906,3.17,0.38,11,8,"high"
"1097",6.5,0.28,0.26,8.8,0.04,0.044,0.139,0.9956,3.32,0.37,10.2,6,"high"
"1098",6.3,0.23,0.21,5.1,0.035,0.029,0.142,0.9942,3.36,0.33,10.1,7,"high"
"1099",6.5,0.29,0.25,10.6,0.039,0.032,0.12,0.9962,3.31,0.34,10.1,6,"high"
"1100",5.8,0.29,0.21,2.6,0.025,0.012,0.12,0.9894,3.39,0.47,14,7,"high"
"1101",6.3,0.27,0.25,5.8,0.038,0.052,0.155,0.995,3.28,0.38,9.4,6,"high"
"1102",6.3,0.17,0.42,2.8,0.028,0.045,0.107,0.9908,3.27,0.43,11.8,6,"high"
"1103",6.3,0.16,0.4,1.6,0.033,0.059,0.148,0.9914,3.44,0.53,11.4,5,"low"
"1104",7.9,0.29,0.39,6.7,0.036,0.006,0.117,0.9938,3.12,0.42,10.7,5,"low"
"1105",7.3,0.31,0.31,10.2,0.041,0.058,0.16,0.9977,3.06,0.45,8.6,5,"low"
"1106",5.5,0.32,0.45,4.9,0.028,0.025,0.191,0.9922,3.51,0.49,11.5,7,"high"
"1107",5.2,0.24,0.45,3.8,0.027,0.021,0.128,0.992,3.55,0.49,11.2,8,"high"
"1108",7.2,0.37,0.15,2,0.029,0.027,0.087,0.9903,3.3,0.59,12.6,7,"high"
"1109",6.1,0.29,0.27,1.7,0.024,0.013,0.076,0.9893,3.21,0.51,12.6,7,"high"
"1110",6.8,0.22,0.4,2.4,0.054,0.018,0.151,0.9952,3.04,0.46,9.3,4,"low"
"1111",7.2,0.37,0.15,2,0.029,0.027,0.087,0.9903,3.3,0.59,12.6,7,"high"
"1112",8,0.18,0.37,1.3,0.04,0.015,0.096,0.9912,3.06,0.61,12.1,6,"high"
"1113",6.5,0.22,0.34,12,0.053,0.055,0.177,0.9983,3.52,0.44,9.9,6,"high"
"1114",7.4,0.18,0.4,1.6,0.047,0.022,0.102,0.9937,3.28,0.44,10.7,5,"low"
"1115",6.5,0.26,0.17,1.4,0.047,0.005,0.026,0.9932,3.26,0.32,10,4,"low"
"1116",7,0.15,0.38,2.2,0.047,0.033,0.096,0.9928,3.13,0.39,10.4,8,"high"
"1117",5.9,0.415,0.13,1.4,0.04,0.011,0.064,0.9922,3.29,0.52,10.5,5,"low"
"1118",8.1,0.45,0.34,8.3,0.037,0.033,0.216,0.9976,3.31,0.64,9.7,5,"low"
"1119",5.8,0.415,0.13,1.4,0.04,0.011,0.064,0.9922,3.29,0.52,10.5,5,"low"
"1120",6.4,0.26,0.16,12.9,0.042,0.026,0.138,0.9974,3.28,0.33,9,5,"low"
"1121",6.7,0.105,0.32,12.4,0.051,0.034,0.106,0.998,3.54,0.45,9.2,6,"high"
"1122",6,0.4,0.3,1.6,0.047,0.03,0.117,0.9931,3.17,0.48,10.1,6,"high"
"1123",6.6,0.25,0.39,1.45,0.04,0.04,0.089,0.9911,3.35,0.4,11.4,7,"high"
"1124",6.8,0.36,0.45,1.6,0.042,0.011,0.124,0.9944,2.93,0.46,10.8,5,"low"
"1125",6.8,0.23,0.4,1.5,0.044,0.019,0.135,0.9937,2.96,0.49,10.9,5,"low"
"1126",6.3,0.26,0.45,13,0.047,0.033,0.182,0.9974,3.2,0.46,9.2,6,"high"
"1127",6.5,0.115,0.29,1.95,0.038,0.073,0.166,0.989,3.12,0.25,12.9,7,"high"
"1128",6.4,0.125,0.29,5.85,0.042,0.024,0.099,0.992,3.23,0.32,12,7,"high"
"1129",5.7,0.1,0.27,1.3,0.047,0.021,0.1,0.9928,3.27,0.46,9.5,5,"low"
"1130",7.9,0.25,0.29,5.3,0.031,0.033,0.117,0.9918,3.06,0.32,11.8,7,"high"
"1131",6.9,0.2,0.28,1.2,0.048,0.036,0.159,0.9936,3.19,0.43,9.1,6,"high"
"1132",6.9,0.23,0.34,4,0.047,0.024,0.128,0.9944,3.2,0.52,9.7,6,"high"
"1133",6.8,0.39,0.31,14.35,0.043,0.028,0.162,0.9988,3.17,0.54,9.1,5,"low"
"1134",8.7,0.22,0.42,2.3,0.053,0.027,0.114,0.994,2.99,0.43,10,5,"low"
"1135",7.4,0.41,0.34,4.7,0.042,0.019,0.127,0.9953,3.25,0.42,10.4,5,"low"
"1136",6.7,0.25,0.34,12.85,0.048,0.03,0.161,0.9986,3.44,0.47,9.5,6,"high"
"1137",6,0.26,0.42,5.2,0.027,0.07,0.178,0.9914,3.4,0.4,12.3,8,"high"
"1138",6.1,0.31,0.37,8.4,0.031,0.07,0.17,0.9934,3.42,0.4,11.7,8,"high"
"1139",6.8,0.28,0.46,3.2,0.058,0.039,0.133,0.996,3.14,0.58,9.5,5,"low"
"1140",6.8,0.31,0.49,6.9,0.034,0.026,0.091,0.9937,2.99,0.34,11.5,5,"low"
"1141",8.5,0.16,0.33,1,0.042,0.017,0.057,0.9921,3.14,0.46,10.6,6,"high"
"1142",6.8,0.34,0.49,7.3,0.052,0.03,0.146,0.998,3.17,0.61,10.2,5,"low"
"1143",6.8,0.28,0.46,3.2,0.058,0.039,0.133,0.996,3.14,0.58,9.5,5,"low"
"1144",7.2,0.24,0.3,1.6,0.048,0.027,0.131,0.9933,3.25,0.45,10.5,5,"low"
"1145",7.2,0.25,0.32,1.5,0.047,0.027,0.132,0.9933,3.26,0.44,10.5,5,"low"
"1146",6.8,0.32,0.18,7.5,0.041,0.071,0.223,0.9959,3.14,0.41,8.9,5,"low"
"1147",6.8,0.27,0.32,1.1,0.031,0.015,0.151,0.9936,3.03,0.41,10.6,5,"low"
"1148",6.8,0.34,0.32,1.3,0.041,0.012,0.188,0.9953,3.17,0.49,9.5,5,"low"
"1149",7,0.17,0.37,5.7,0.025,0.029,0.111,0.9938,3.2,0.49,10.8,6,"high"
"1150",6.7,0.25,0.23,7.2,0.038,0.061,0.22,0.9952,3.14,0.35,9.5,5,"low"
"1151",6.9,0.32,0.17,7.6,0.042,0.069,0.219,0.9959,3.13,0.4,8.9,5,"low"
"1152",6.8,0.32,0.18,7.5,0.041,0.071,0.223,0.9959,3.14,0.41,8.9,5,"low"
"1153",6.1,0.26,0.31,1.3,0.042,0.024,0.079,0.9937,3.31,0.38,9.4,4,"low"
"1154",5.3,0.395,0.31,1.3,0.035,0.026,0.102,0.992,3.5,0.35,10.6,6,"high"
"1155",7.9,0.16,0.3,4.8,0.037,0.037,0.171,0.9967,3.47,0.44,9,4,"low"
"1156",7.6,0.33,0.36,2.1,0.034,0.026,0.172,0.9944,3.42,0.48,10.5,4,"low"
"1157",7.8,0.3,0.29,16.85,0.054,0.023,0.135,0.9998,3.16,0.38,9,6,"high"
"1158",7.8,0.3,0.29,16.85,0.054,0.023,0.135,0.9998,3.16,0.38,9,6,"high"
"1159",5.7,0.26,0.27,4.1,0.042,0.0735,0.1895,0.9942,3.27,0.38,9.4,6,"high"
"1160",7.8,0.3,0.29,16.85,0.054,0.023,0.135,0.9998,3.16,0.38,9,6,"high"
"1161",7.5,0.14,0.34,1.3,0.055,0.05,0.153,0.9945,3.29,0.47,9.6,6,"high"
"1162",7.8,0.3,0.29,16.85,0.054,0.023,0.135,0.9998,3.16,0.38,9,6,"high"
"1163",6.6,0.25,0.41,7.4,0.043,0.029,0.151,0.9946,3.15,0.6,10.2,7,"high"
"1164",5.7,0.26,0.27,4.1,0.042,0.0735,0.1895,0.9942,3.27,0.38,9.4,6,"high"
"1165",8.2,0.23,0.49,0.9,0.057,0.015,0.073,0.9928,3.07,0.38,10.4,6,"high"
"1166",6,0.24,0.32,6.3,0.03,0.034,0.129,0.9946,3.52,0.41,10.4,5,"low"
"1167",6.1,0.45,0.27,0.8,0.039,0.013,0.082,0.9927,3.23,0.32,9.5,5,"low"
"1168",7.4,0.23,0.43,1.4,0.044,0.022,0.113,0.9938,3.22,0.62,10.6,6,"high"
"1169",7.2,0.2,0.38,1,0.037,0.021,0.074,0.9918,3.21,0.37,11,5,"low"
"1170",7.5,0.14,0.34,1.3,0.055,0.05,0.153,0.9945,3.29,0.47,9.6,6,"high"
"1171",7.7,0.25,0.43,4.5,0.062,0.02,0.115,0.9966,3.38,0.5,9.9,6,"high"
"1172",8.2,0.26,0.45,5.4,0.03,0.015,0.118,0.9954,3.14,0.34,9.6,5,"low"
"1173",7.6,0.21,0.44,1.9,0.036,0.01,0.119,0.9913,3.01,0.7,12.8,6,"high"
"1174",7.4,0.22,0.33,2,0.045,0.031,0.101,0.9931,3.42,0.55,11.4,5,"low"
"1175",7.2,0.26,0.26,12.7,0.036,0.049,0.214,0.9986,3.41,0.5,10,6,"high"
"1176",6.4,0.25,0.41,8.6,0.042,0.057,0.173,0.9965,3,0.44,9.1,5,"low"
"1177",6.3,0.32,0.35,11.1,0.039,0.029,0.198,0.9984,3.36,0.5,9.4,7,"high"
"1178",6.8,0.25,0.29,2,0.042,0.019,0.189,0.9952,3.46,0.54,10.2,6,"high"
"1179",6.8,0.44,0.4,2.8,0.036,0.035,0.167,0.9956,2.97,0.39,9.2,5,"low"
"1180",7.2,0.2,0.25,4.5,0.044,0.031,0.109,0.9949,3.23,0.36,9.4,5,"low"
"1181",8.2,0.26,0.45,5.4,0.03,0.015,0.118,0.9954,3.14,0.34,9.6,5,"low"
"1182",7.5,0.42,0.45,9.1,0.029,0.02,0.125,0.996,3.12,0.36,10.1,6,"high"
"1183",7.4,0.22,0.33,2,0.045,0.031,0.101,0.9931,3.42,0.55,11.4,5,"low"
"1184",6.4,0.26,0.3,2.2,0.025,0.033,0.134,0.992,3.21,0.47,10.6,6,"high"
"1185",7.9,0.46,0.32,4.1,0.033,0.04,0.138,0.9912,3.18,0.44,12.8,7,"high"
"1186",6.5,0.41,0.31,11.8,0.065,0.065,0.225,0.9978,3.12,0.51,8.9,5,"low"
"1187",7.5,0.32,0.37,1.2,0.048,0.022,0.184,0.9938,3.09,0.43,9.3,5,"low"
"1188",6.6,0.21,0.38,2.2,0.026,0.04,0.104,0.9914,3.25,0.4,11.1,8,"high"
"1189",7.1,0.21,0.3,1.4,0.037,0.045,0.143,0.9932,3.13,0.33,9.9,6,"high"
"1190",7.6,0.26,0.47,1.6,0.068,0.005,0.055,0.9944,3.1,0.45,9.6,5,"low"
"1191",7.6,0.21,0.44,1.9,0.036,0.01,0.119,0.9913,3.01,0.7,12.8,6,"high"
"1192",6.9,0.25,0.26,5.2,0.024,0.036,0.135,0.9948,3.16,0.72,10.7,7,"high"
"1193",7.1,0.26,0.32,14.45,0.042,0.029,0.107,0.998,2.96,0.42,9.2,6,"high"
"1194",7.3,0.22,0.4,14.75,0.042,0.0445,0.1295,0.9998,3.36,0.41,9.1,7,"high"
"1195",6.2,0.37,0.22,8.3,0.025,0.036,0.216,0.9964,3.33,0.6,9.6,6,"high"
"1196",7.9,0.22,0.45,14.2,0.038,0.053,0.141,0.9992,3.03,0.46,9.2,6,"high"
"1197",6.9,0.25,0.26,5.2,0.024,0.036,0.135,0.9948,3.16,0.72,10.7,7,"high"
"1198",7.3,0.22,0.4,14.75,0.042,0.0445,0.1295,0.9998,3.36,0.41,9.1,7,"high"
"1199",7.1,0.26,0.32,14.45,0.042,0.029,0.107,0.998,2.96,0.42,9.2,6,"high"
"1200",7.4,0.25,0.37,6.9,0.02,0.014,0.093,0.9939,3,0.48,10.7,7,"high"
"1201",6.8,0.18,0.37,1.5,0.027,0.037,0.093,0.992,3.3,0.45,10.8,6,"high"
"1202",7,0.17,0.37,1.5,0.028,0.026,0.075,0.9922,3.3,0.46,10.8,7,"high"
"1203",6.4,0.3,0.38,7.8,0.046,0.035,0.192,0.9955,3.1,0.37,9,5,"low"
"1204",5,0.33,0.16,1.5,0.049,0.01,0.097,0.9917,3.48,0.44,10.7,6,"high"
"1205",5,0.33,0.16,1.5,0.049,0.01,0.097,0.9917,3.48,0.44,10.7,6,"high"
"1206",6.8,0.33,0.32,1.5,0.047,0.011,0.2,0.9954,3.19,0.46,9.4,5,"low"
"1207",7,0.26,0.46,15.55,0.037,0.061,0.171,0.9986,2.94,0.35,8.8,6,"high"
"1208",6.4,0.3,0.38,7.8,0.046,0.035,0.192,0.9955,3.1,0.37,9,5,"low"
"1209",6.3,0.21,0.4,1.7,0.031,0.048,0.134,0.9917,3.42,0.49,11.5,6,"high"
"1210",8,0.23,0.46,1.5,0.03,0.03,0.125,0.9907,3.23,0.47,12.5,6,"high"
"1211",6.8,0.28,0.41,1,0.042,0.014,0.059,0.9922,2.96,0.25,10.5,6,"high"
"1212",7.3,0.27,0.39,6.7,0.064,0.028,0.188,0.9958,3.29,0.3,9.7,5,"low"
"1213",7.6,0.32,0.36,1.6,0.04,0.032,0.155,0.993,3.23,0.52,11.3,6,"high"
"1214",5,0.33,0.16,1.5,0.049,0.01,0.097,0.9917,3.48,0.44,10.7,6,"high"
"1215",6.8,0.24,0.45,1.2,0.033,0.011,0.059,0.9926,3.17,0.47,10.8,6,"high"
"1216",8,0.28,0.42,7.1,0.045,0.041,0.169,0.9959,3.17,0.43,10.6,5,"low"
"1217",8.2,0.37,0.36,1,0.034,0.017,0.093,0.9906,3.04,0.32,11.7,8,"high"
"1218",8,0.26,0.38,12.1,0.042,0.024,0.22,0.9993,2.94,0.48,9.2,5,"low"
"1219",7.2,0.26,0.44,7.1,0.027,0.025,0.126,0.993,3.02,0.34,11.1,8,"high"
"1220",8.2,0.37,0.36,1,0.034,0.017,0.093,0.9906,3.04,0.32,11.7,8,"high"
"1221",6.4,0.23,0.33,1.15,0.044,0.0155,0.2175,0.992,3.33,0.44,11,6,"high"
"1222",5.9,0.4,0.32,6,0.034,0.05,0.127,0.992,3.51,0.58,12.5,7,"high"
"1223",7.6,0.28,0.39,1.2,0.038,0.021,0.115,0.994,3.16,0.67,10,6,"high"
"1224",8,0.28,0.42,7.1,0.045,0.041,0.169,0.9959,3.17,0.43,10.6,5,"low"
"1225",7.2,0.23,0.39,2.3,0.033,0.029,0.102,0.9908,3.26,0.54,12.3,7,"high"
"1226",6.8,0.32,0.37,3.4,0.023,0.019,0.087,0.9902,3.14,0.53,12.7,6,"high"
"1227",7.2,0.23,0.39,2.3,0.033,0.029,0.102,0.9908,3.26,0.54,12.3,7,"high"
"1228",6.9,0.18,0.38,6.5,0.039,0.02,0.11,0.9943,3.1,0.42,10.5,5,"low"
"1229",6.8,0.26,0.53,1.2,0.047,0.025,0.109,0.9921,3.23,0.28,12.5,6,"high"
"1230",8.3,0.33,0.42,1.15,0.033,0.018,0.096,0.9911,3.2,0.32,12.4,3,"low"
"1231",7.3,0.29,0.3,13,0.043,0.046,0.238,0.9986,3.06,0.41,8.7,6,"high"
"1232",7.9,0.41,0.37,4.5,0.03,0.04,0.114,0.992,3.17,0.54,12.4,7,"high"
"1233",7.9,0.44,0.37,5.85,0.033,0.027,0.093,0.992,3.16,0.54,12.6,7,"high"
"1234",7.7,0.39,0.3,5.2,0.037,0.029,0.131,0.9943,3.38,0.44,11,6,"high"
"1235",7.7,0.26,0.31,1.3,0.043,0.047,0.155,0.9937,3.42,0.5,10.1,6,"high"
"1236",7.8,0.32,0.31,1.7,0.036,0.046,0.195,0.993,3.03,0.48,10.5,5,"low"
"1237",6.8,0.32,0.37,3.4,0.023,0.019,0.087,0.9902,3.14,0.53,12.7,6,"high"
"1238",7.3,0.24,0.39,3.6,0.024,0.035,0.116,0.9928,3.17,0.51,10.9,5,"low"
"1239",7.1,0.44,0.37,2.7,0.041,0.035,0.128,0.9896,3.07,0.43,13.5,7,"high"
"1240",6.8,0.25,0.48,2.2,0.042,0.028,0.164,0.998,3.19,0.59,9.7,5,"low"
"1241",7.9,0.14,0.28,1.8,0.041,0.044,0.178,0.9954,3.45,0.43,9.2,6,"high"
"1242",7.4,0.18,0.42,2.1,0.036,0.033,0.187,0.9938,3.4,0.41,10.6,7,"high"
"1243",8.1,0.43,0.42,6.6,0.033,0.036,0.141,0.9918,2.98,0.39,13.3,7,"high"
"1244",7.1,0.44,0.37,2.7,0.041,0.035,0.128,0.9896,3.07,0.43,13.5,7,"high"
"1245",6.4,0.26,0.22,5.1,0.037,0.023,0.131,0.9944,3.29,0.32,10.1,5,"low"
"1246",8,0.26,0.31,17.55,0.042,0.062,0.233,0.9999,2.92,0.68,9.4,4,"low"
"1247",8,0.2,0.4,5.2,0.055,0.041,0.167,0.9953,3.18,0.4,10.6,7,"high"
"1248",7.2,0.21,0.34,1.1,0.046,0.025,0.08,0.992,3.25,0.4,11.3,6,"high"
"1249",7.2,0.18,0.31,1.1,0.045,0.02,0.073,0.9925,3.32,0.4,10.8,7,"high"
"1250",8.4,0.26,0.44,10.7,0.051,0.046,0.195,0.9981,3.15,0.51,10.4,5,"low"
"1251",5.3,0.26,0.23,5.15,0.034,0.048,0.16,0.9952,3.17,0.51,10.5,7,"high"
"1252",5.7,0.245,0.33,1.1,0.049,0.028,0.15,0.9927,3.13,0.42,9.3,5,"low"
"1253",5.6,0.245,0.32,1.1,0.047,0.024,0.152,0.9927,3.12,0.42,9.3,6,"high"
"1254",7.3,0.25,0.41,1.8,0.037,0.052,0.165,0.9911,3.29,0.39,12.2,7,"high"
"1255",7,0.16,0.31,1,0.042,0.058,0.15,0.9936,3.08,0.3,9.2,5,"low"
"1256",6.4,0.22,0.34,1.8,0.057,0.029,0.104,0.9959,3.17,0.57,10.3,6,"high"
"1257",7.3,0.18,0.31,1.4,0.046,0.028,0.157,0.9946,3.33,0.62,9.4,6,"high"
"1258",6.4,0.17,0.27,6.7,0.036,0.033,0.223,0.9948,3.28,0.35,10.2,6,"high"
"1259",6.9,0.29,0.16,6.8,0.034,0.065,0.212,0.9955,3.08,0.39,9,6,"high"
"1260",6.2,0.21,0.38,6.8,0.036,0.064,0.245,0.9951,3.06,0.36,9.3,6,"high"
"1261",6.4,0.23,0.3,7.1,0.037,0.063,0.236,0.9952,3.06,0.34,9.2,6,"high"
"1262",7.3,0.19,0.31,1.5,0.05,0.031,0.156,0.9946,3.32,0.64,9.4,6,"high"
"1263",7.3,0.18,0.31,1.4,0.046,0.028,0.157,0.9946,3.33,0.62,9.4,6,"high"
"1264",6.8,0.29,0.46,1.45,0.039,0.0775,0.223,0.9944,2.92,0.46,9.5,6,"high"
"1265",7.2,0.14,0.35,1.2,0.036,0.015,0.073,0.9938,3.46,0.39,9.9,5,"low"
"1266",6.9,0.31,0.34,7.4,0.059,0.036,0.174,0.9963,3.46,0.62,11.1,7,"high"
"1267",7.5,0.28,0.34,4.2,0.028,0.036,0.116,0.991,2.99,0.41,12.3,8,"high"
"1268",8,0.22,0.42,14.6,0.044,0.045,0.163,1.0003,3.21,0.69,8.6,7,"high"
"1269",7.6,0.31,0.29,10.5,0.04,0.021,0.145,0.9966,3.04,0.35,9.4,5,"low"
"1270",8.4,0.35,0.56,13.8,0.048,0.055,0.19,0.9993,3.07,0.58,9.4,6,"high"
"1271",8,0.22,0.42,14.6,0.044,0.045,0.163,1.0003,3.21,0.69,8.6,7,"high"
"1272",8.1,0.26,0.47,1.1,0.037,0.023,0.126,0.9938,3.21,0.42,10.9,5,"low"
"1273",7,0.39,0.31,5.3,0.042,0.032,0.162,0.9965,3.2,0.48,9.4,5,"low"
"1274",8.1,0.26,0.47,1.1,0.037,0.023,0.126,0.9938,3.21,0.42,10.9,5,"low"
"1275",8.4,0.35,0.56,13.8,0.048,0.055,0.19,0.9993,3.07,0.58,9.4,6,"high"
"1276",6.2,0.22,0.27,1.5,0.064,0.02,0.132,0.9938,3.22,0.46,9.2,6,"high"
"1277",8,0.22,0.42,14.6,0.044,0.045,0.163,1.0003,3.21,0.69,8.6,7,"high"
"1278",7.6,0.31,0.29,10.5,0.04,0.021,0.145,0.9966,3.04,0.35,9.4,5,"low"
"1279",7,0.24,0.36,4.9,0.042,0.01,0.133,0.9942,3.33,0.37,10.8,6,"high"
"1280",6.6,0.27,0.3,1.9,0.025,0.014,0.153,0.9928,3.29,0.62,10.5,6,"high"
"1281",7.8,0.16,0.41,1.7,0.026,0.029,0.14,0.991,3.02,0.47,12.5,6,"high"
"1282",7.7,0.27,0.34,1.8,0.028,0.026,0.168,0.9911,2.99,0.48,12.1,7,"high"
"1283",7.4,0.31,0.31,10.7,0.039,0.051,0.147,0.9977,3.02,0.43,8.7,5,"low"
"1284",8,0.45,0.36,8.8,0.026,0.05,0.151,0.9927,3.07,0.25,12.7,8,"high"
"1285",7.7,0.27,0.34,1.8,0.028,0.026,0.168,0.9911,2.99,0.48,12.1,7,"high"
"1286",7.8,0.16,0.41,1.7,0.026,0.029,0.14,0.991,3.02,0.47,12.5,6,"high"
"1287",6.6,0.16,0.29,1.8,0.05,0.04,0.147,0.9912,3.06,0.44,11.4,7,"high"
"1288",8.3,0.21,0.4,1.6,0.032,0.035,0.11,0.9907,3.02,0.6,12.9,7,"high"
"1289",7.2,0.32,0.33,1.4,0.029,0.029,0.109,0.9902,3.15,0.51,12.8,7,"high"
"1290",6.6,0.16,0.3,1.6,0.034,0.015,0.078,0.992,3.38,0.44,11.2,6,"high"
"1291",8.4,0.16,0.33,1.5,0.033,0.016,0.098,0.994,3.14,0.42,9.7,6,"high"
"1292",7.5,0.23,0.32,9.2,0.038,0.054,0.191,0.9966,3.04,0.56,9.7,6,"high"
"1293",6.2,0.17,0.3,1.1,0.037,0.014,0.079,0.993,3.5,0.54,10.3,6,"high"
"1294",6.9,0.39,0.22,4.3,0.03,0.01,0.102,0.993,3,0.47,11.6,4,"low"
"1295",6.9,0.41,0.22,4.2,0.031,0.01,0.102,0.993,3,0.47,11.6,4,"low"
"1296",7.5,0.23,0.32,9.2,0.038,0.054,0.191,0.9966,3.04,0.56,9.7,6,"high"
"1297",7.5,0.38,0.33,5,0.045,0.03,0.131,0.9942,3.32,0.44,10.9,6,"high"
"1298",7.3,0.42,0.38,6.8,0.045,0.029,0.122,0.9925,3.19,0.37,12.6,7,"high"
"1299",7.3,0.34,0.39,5.2,0.04,0.045,0.163,0.9925,3.3,0.47,12.4,6,"high"
"1300",7.8,0.23,0.28,4.75,0.042,0.045,0.166,0.9928,2.96,0.4,11.5,5,"low"
"1301",6.8,0.245,0.38,5.9,0.045,0.052,0.159,0.995,2.93,0.35,10.2,6,"high"
"1302",6.9,0.2,0.4,7.7,0.032,0.051,0.176,0.9939,3.22,0.27,11.4,5,"low"
"1303",7.4,0.19,0.42,6.4,0.067,0.039,0.212,0.9958,3.3,0.33,9.6,6,"high"
"1304",8.2,0.2,0.36,8.1,0.035,0.06,0.163,0.9952,3.05,0.3,10.3,6,"high"
"1305",8,0.26,0.31,17.35,0.038,0.061,0.228,1,2.95,0.75,9.3,5,"low"
"1306",7.9,0.14,0.45,1.8,0.05,0.017,0.114,0.9948,3.33,0.49,10.7,7,"high"
"1307",6.8,0.24,0.4,1.8,0.047,0.034,0.105,0.99,3.13,0.49,12.8,8,"high"
"1308",6.8,0.14,0.31,1.5,0.049,0.023,0.142,0.9958,2.98,0.62,9.5,5,"low"
"1309",6.8,0.15,0.31,1.6,0.046,0.022,0.13,0.9948,3.02,0.45,10.4,6,"high"
"1310",6.8,0.17,0.55,1.6,0.049,0.014,0.094,0.9949,3.02,0.61,10.3,6,"high"
"1311",5.2,0.365,0.31,13.5,0.041,0.037,0.142,0.997,3.46,0.39,9.9,6,"high"
"1312",6.3,0.23,0.22,3.75,0.039,0.037,0.116,0.9927,3.23,0.5,10.7,6,"high"
"1313",6.8,0.25,0.54,1.3,0.04,0.016,0.16,0.9938,2.94,0.43,10.5,5,"low"
"1314",6.8,0.32,0.42,1.3,0.046,0.014,0.186,0.9949,3.08,0.48,9.6,5,"low"
"1315",6.4,0.31,0.4,6.2,0.04,0.046,0.169,0.9953,3.15,0.46,9.3,6,"high"
"1316",8.1,0.2,0.36,9.7,0.044,0.063,0.162,0.997,3.1,0.46,10,6,"high"
"1317",7.9,0.255,0.26,2,0.026,0.04,0.19,0.9932,3.04,0.39,11.2,6,"high"
"1318",7,0.15,0.34,1.4,0.039,0.021,0.177,0.9927,3.32,0.62,10.8,5,"low"
"1319",6.4,0.15,0.31,1.1,0.044,0.025,0.096,0.9932,3.54,0.51,10.3,6,"high"
"1320",6.4,0.25,0.53,6.6,0.038,0.059,0.234,0.9955,3.03,0.42,8.8,5,"low"
"1321",7.6,0.19,0.42,1.5,0.044,0.006,0.114,0.9914,3.04,0.74,12.8,6,"high"
"1322",7.3,0.43,0.37,4.6,0.028,0.017,0.114,0.991,3.23,0.43,13.2,6,"high"
"1323",5.1,0.31,0.3,0.9,0.037,0.028,0.152,0.992,3.54,0.56,10.1,6,"high"
"1324",6.2,0.2,0.26,1.7,0.042,0.04,0.161,0.9924,3.44,0.66,11,5,"low"
"1325",6.9,0.16,0.35,1.3,0.043,0.021,0.182,0.9927,3.25,0.62,10.8,6,"high"
"1326",7.7,0.32,0.48,2.3,0.04,0.028,0.114,0.9911,3.2,0.52,12.8,7,"high"
"1327",6.5,0.22,0.31,6.8,0.042,0.033,0.168,0.9958,3.12,0.36,9.2,6,"high"
"1328",6.8,0.26,0.33,1.5,0.047,0.044,0.167,0.9928,3.12,0.44,10.5,6,"high"
"1329",5.2,0.37,0.33,1.2,0.028,0.013,0.081,0.9902,3.37,0.38,11.7,6,"high"
"1330",8.4,0.19,0.43,2.1,0.052,0.02,0.104,0.994,2.85,0.46,9.5,5,"low"
"1331",8.3,0.21,0.41,2.2,0.05,0.024,0.108,0.994,2.85,0.45,9.5,5,"low"
"1332",6.8,0.15,0.32,8.8,0.058,0.024,0.11,0.9972,3.4,0.4,8.8,6,"high"
"1333",7.9,0.16,0.31,17,0.05,0.069,0.21,1.0004,3.15,0.51,9.3,7,"high"
"1334",7.8,0.21,0.39,1.8,0.034,0.062,0.18,0.991,3.09,0.75,12.6,8,"high"
"1335",6.8,0.24,0.5,1.2,0.048,0.026,0.107,0.9918,3.21,0.34,12.4,6,"high"
"1336",5.7,0.21,0.24,2.3,0.047,0.06,0.189,0.995,3.17,0.72,10.1,6,"high"
"1337",7.8,0.29,0.36,7,0.042,0.038,0.161,0.9941,3.26,0.37,11.2,8,"high"
"1338",6.7,0.18,0.3,6.4,0.048,0.04,0.251,0.9956,3.29,0.52,10,5,"low"
"1339",6.7,0.18,0.3,6.4,0.048,0.04,0.251,0.9956,3.29,0.52,10,5,"low"
"1340",8.4,0.26,0.27,12.15,0.033,0.037,0.116,0.9959,2.99,0.39,10.8,6,"high"
"1341",7.2,0.16,0.32,0.8,0.04,0.05,0.121,0.9922,3.27,0.33,10,6,"high"
"1342",7.6,0.26,0.23,2,0.029,0.013,0.151,0.9931,3.04,0.33,10.4,5,"low"
"1343",8.4,0.26,0.27,12.15,0.033,0.037,0.116,0.9959,2.99,0.39,10.8,6,"high"
"1344",6.6,0.25,0.31,12.4,0.059,0.052,0.181,0.9984,3.51,0.47,9.8,6,"high"
"1345",7.3,0.23,0.37,1.9,0.041,0.051,0.165,0.9908,3.26,0.4,12.2,8,"high"
"1346",7.3,0.39,0.37,1.1,0.043,0.036,0.113,0.991,3.39,0.48,12.7,8,"high"
"1347",7,0.46,0.39,6.2,0.039,0.046,0.163,0.9928,3.21,0.35,12.2,7,"high"
